Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-01-01,246.11,246.59,243.25,244.36,793153.38,BNB,193985583.2792,246426,-3.5e-06,26.0,272483373.92231476,187516.0,16173353.596591791,1d
2023-01-02,244.35,247.88,240.4,245.07,1476135.06,BNB,362014330.10557,407787,-2.5086666666666665e-05,27.0,,,,1d
2023-01-03,245.06,246.9,244.02,245.97,917619.33,BNB,225254035.322,287346,-5.1613333333333336e-05,26.0,,,,1d
2023-01-04,245.97,260.9,245.47,258.54,2601842.57,BNB,664724650.61011,747686,0.0,29.0,242356482.01087618,277936.0,15514421.553151188,1d
2023-01-05,258.55,258.9,255.0,256.44,1016972.84,BNB,261280295.1172,344953,-0.0003960533333333333,29.0,,,,1d
2023-01-06,256.43,260.5,253.95,259.69,1642251.62,BNB,422647779.1308,519824,-0.00023836333333333336,26.0,,,,1d
2023-01-07,259.69,264.0,259.21,261.11,722545.09,BNB,188645181.5799,295305,-0.00022145,25.0,260999288.3194051,246679.0,16669607.643204877,1d
2023-01-08,261.1,277.0,259.83,274.7,1576056.16,BNB,419479859.02601,512241,-0.00017759,25.0,,,,1d
2023-01-09,274.7,283.55,271.27,272.44,2398756.73,BNB,666242323.2157,791760,-1.8366666666666665e-05,25.0,,,,1d
2023-01-10,272.44,278.65,270.07,277.02,1433539.8,BNB,394249669.61854,493344,-6.48e-06,26.0,286421296.9219445,302809.0,18671443.668399256,1d
2023-01-11,277.01,287.4,273.91,284.74,1506445.25,BNB,419577627.44904,525734,-0.00017591666666666667,26.0,,,,1d
2023-01-12,284.74,288.67,276.51,287.52,2285067.64,BNB,650217253.89386,813835,-2.576666666666667e-06,30.0,,,,1d
2023-01-13,287.52,296.25,284.63,293.67,1784645.31,BNB,515825584.99797,620094,-0.00017882333333333334,31.0,269473291.1869182,316549.0,19299222.303412113,1d
2023-01-14,293.67,315.3,293.15,305.25,3307812.49,BNB,1011255618.20288,1211788,0.00015724666666666666,46.0,,,,1d
2023-01-15,305.26,306.24,292.0,302.2,1490260.82,BNB,446253710.98226,606658,3.083e-05,52.0,,,,1d
2023-01-16,302.2,308.19,293.0,299.02,1710474.04,BNB,513925445.33329,684248,0.0,45.0,274688843.2470833,302804.0,19564851.90352845,1d
2023-01-17,299.01,306.0,294.0,299.28,1351462.88,BNB,406983516.96618,595067,0.0,51.0,,,,1d
2023-01-18,299.28,305.48,281.1,286.44,2936274.92,BNB,863359895.79327,1207704,0.0,52.0,,,,1d
2023-01-19,286.44,295.4,285.82,294.4,1188547.72,BNB,345037943.16703,489901,-0.00010275000000000002,45.0,270951580.07365364,298919.0,19225531.967102878,1d
2023-01-20,294.39,305.66,286.69,305.24,2112548.65,BNB,621709129.85053,778552,-2.65e-06,51.0,,,,1d
2023-01-21,305.24,310.55,298.16,299.12,2167116.69,BNB,658636287.61932,879464,9.751999999999999e-05,53.0,,,,1d
2023-01-22,299.13,312.0,298.45,303.19,1788927.68,BNB,543671642.93729,712209,8.726666666666666e-05,53.0,282163369.59394276,250760.0,21838359.94420077,1d
2023-01-23,303.19,308.24,300.62,305.36,1372118.46,BNB,418623200.20999,628940,6.925666666666667e-05,50.0,,,,1d
