Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2025-07-01,656.99,659.2,643.65,646.11,291724.16,BNB,189716681.8595,473313,0.0,64.0,,956568711.0781472,452266.1142857143,54394042.38259282,65,1d,,,0.0,64.4
2025-07-02,646.12,664.88,643.5,659.97,382879.99,BNB,251987600.2254,561589,0.0,63.0,,889547992.701345,366147.0,52803407.75673417,62,1d,2.145145563448958,0.021224611517316593,0.020976798389659945,62.599999999999994
2025-07-03,659.96,665.0,656.56,663.9,307349.05,BNB,203221196.9954,528793,0.0,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,61,1d,0.5954816128005636,0.005937156283185957,0.02692476503261539,68.2
2025-07-04,663.9,664.4,650.08,653.39,287088.14,BNB,188473224.4027,498467,0.0,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,59,1d,-1.5830697394185855,-0.015957341236018954,0.01101811632588194,67.4
2025-07-05,653.38,656.76,651.72,655.99,151159.11,BNB,98945860.5766,300244,0.0,67.0,,912804149.3732756,427456.0,53453223.3439726,61,1d,0.3979246697990435,0.0039713504363658135,0.014953157870839824,64.6
2025-07-06,656.0,664.89,653.22,663.12,285320.92,BNB,188388629.3189,407785,0.0,66.0,,956568711.0781472,452266.1142857143,54394042.38259282,69,1d,1.0869068126038606,0.01081042435781033,0.025744252569128077,67.2
2025-07-07,663.12,663.2,656.5,661.04,240143.07,BNB,158667964.046,402066,0.0,73.0,,956568711.0781472,452266.1142857143,54394042.38259282,75,1d,-0.3136687175775199,-0.0031416168903419437,0.022596219333161735,73.8
2025-07-08,661.05,662.64,657.24,660.52,262127.28,BNB,172981340.612,408104,0.0,65.0,,825593561.8535358,354753.0,49375267.19171441,68,1d,-0.07866392351445484,-0.0007869487981412619,0.021809211024170192,66.2
2025-07-09,660.52,671.94,658.41,668.88,369372.61,BNB,245361947.3828,492907,0.0,66.0,,956568711.0781472,452266.1142857143,54394042.38259282,63,1d,1.26566947253679,0.012577268247014883,0.03446188306872699,64.80000000000001
2025-07-10,668.89,688.13,667.12,686.3,523184.88,BNB,353542616.0569,610078,0.0,71.0,,956568711.0781472,452266.1142857143,54394042.38259282,62,1d,2.6043535462265233,0.025710178072786475,0.06082666141994453,67.4
2025-07-11,686.3,697.78,683.01,690.4,686984.04,BNB,474213336.1737,864131,0.0,71.0,,872105875.197397,408758.0,55661378.16508856,63,1d,0.5974063820486597,0.00595628985462914,0.06703191924083964,67.80000000000001
2025-07-12,690.4,697.38,679.47,686.1,373521.41,BNB,257258216.1861,599527,7.15e-06,79.0,,956568711.0781472,452266.1142857143,54394042.38259282,58,1d,-0.6228273464658152,-0.006247750072373025,0.06052396591648633,70.6
2025-07-13,686.1,694.47,685.3,692.33,256169.77,BNB,176975050.4151,423622,0.0,74.0,,956568711.0781472,452266.1142857143,54394042.38259282,67,1d,0.9080308992858166,0.009039330863072105,0.06995293084921228,71.2
