Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-01-01,16537.5,16618.8,16488.0,16610.3,105502.965,BTC,1746449849.7392,594299,6.897e-05,26.0,272483373.92231476,187516.0,16173353.596591791,1d
2023-01-02,16610.4,16799.0,16541.2,16666.0,215161.176,BTC,3591354304.35244,1020015,-1.0580000000000002e-05,27.0,,,,1d
2023-01-03,16665.9,16774.0,16600.3,16667.2,203070.205,BTC,3387368709.5144,966813,7.433e-05,26.0,,,,1d
2023-01-04,16667.3,16984.6,16645.7,16842.1,349747.838,BTC,5888326801.78923,1618311,4.936e-05,29.0,242356482.01087618,277936.0,15514421.553151188,1d
2023-01-05,16842.2,16872.8,16740.4,16823.8,176369.347,BTC,2966302291.7523,892815,5.7056666666666665e-05,29.0,,,,1d
2023-01-06,16823.8,17030.0,16664.8,16943.8,316973.629,BTC,5333655035.26937,1370628,6.945333333333333e-05,26.0,,,,1d
2023-01-07,16943.9,16973.6,16900.1,16936.5,77973.105,BTC,1320072681.1707,454642,4.393e-05,25.0,260999288.3194051,246679.0,16669607.643204877,1d
2023-01-08,16936.5,17181.1,16905.0,17124.7,157717.318,BTC,2677202628.9964,775585,7.703e-05,25.0,,,,1d
2023-01-09,17124.6,17387.8,17098.2,17169.7,400277.809,BTC,6899176604.98138,1767631,2.0116666666666667e-05,25.0,,,,1d
2023-01-10,17169.6,17485.4,17140.4,17428.8,297320.371,BTC,5146868921.9222,1362100,5.0770000000000003e-05,26.0,286421296.9219445,302809.0,18671443.668399256,1d
2023-01-11,17428.8,18013.2,17306.4,17935.7,386277.106,BTC,6776699165.64645,1720123,1.6756666666666665e-05,26.0,,,,1d
2023-01-12,17935.6,19120.0,17902.4,18838.0,1040334.76,BTC,19148363107.05267,4582821,9.183e-05,30.0,,,,1d
2023-01-13,18838.1,19997.8,18711.0,19924.2,806807.832,BTC,15537710427.37066,3959376,9.053333333333333e-05,31.0,269473291.1869182,316549.0,19299222.303412113,1d
2023-01-14,19924.3,21544.0,19882.6,20962.8,1010666.683,BTC,20998726724.36468,5289343,0.00021531000000000002,46.0,,,,1d
2023-01-15,20962.8,21073.8,20556.0,20882.7,428486.559,BTC,8913057374.28152,2666812,0.00015345999999999998,52.0,,,,1d
2023-01-16,20882.7,21498.0,20606.6,21188.3,666148.201,BTC,14032617401.17082,4013906,0.0001,45.0,274688843.2470833,302804.0,19564851.90352845,1d
2023-01-17,21188.2,21640.0,20827.8,21130.9,547390.593,BTC,11615613152.77241,3216496,0.0001,51.0,,,,1d
2023-01-18,21130.8,21672.0,20386.0,20680.0,813785.517,BTC,17129538788.44014,4880532,0.0001,52.0,,,,1d
2023-01-19,20680.1,21183.9,20659.9,21068.3,374733.617,BTC,7822342459.57356,2261529,0.0001,45.0,270951580.07365364,298919.0,19225531.967102878,1d
2023-01-20,21068.3,22750.0,20856.4,22661.1,723645.2,BTC,15661806602.12429,3903593,0.0001,51.0,,,,1d
2023-01-21,22661.0,23390.0,22422.0,22781.9,764681.1,BTC,17543885761.9696,4452486,0.0001,53.0,,,,1d
2023-01-22,22781.8,23080.2,22287.0,22704.6,482529.811,BTC,10978562431.79006,2934952,0.0001,53.0,282163369.59394276,250760.0,21838359.94420077,1d
2023-01-23,22704.7,23193.1,22500.0,22913.1,525802.84,BTC,12012842979.87915,3132952,0.0001,50.0,,,,1d
2023-01-24,22913.3,23158.7,22450.0,22627.4,505615.816,BTC,11572452898.66944,2961877,0.0001,52.0,,,,1d
2023-01-25,22627.5,23837.4,22310.5,23060.6,692786.607,BTC,15838682593.16114,4069945,0.0001,51.0,327010527.67509925,306681.0,25676773.61340148,1d
2023-01-26,23060.6,23278.7,22843.8,23001.9,427760.786,BTC,9860266068.50203,2768278,0.0001,54.0,,,,1d
2023-01-27,23001.9,23500.0,22516.6,23068.0,509920.307,BTC,11736116589.73221,3045131,9.847000000000001e-05,55.0,,,,1d
2023-01-28,23068.1,23185.0,22870.8,23015.9,186400.943,BTC,4287806004.0492,1452787,0.0001,52.0,313930106.5680952,268849.0,24442485.75123782,1d
2023-01-29,23016.0,23962.7,22961.5,23740.3,562028.231,BTC,13203229115.48447,3749129,0.0001,55.0,,,,1d
2023-01-30,23740.2,23804.6,22484.2,22819.9,572537.407,BTC,13260710938.80389,3732017,0.0001,61.0,,,,1d
2023-01-31,22819.9,23330.0,22715.3,23119.4,403726.966,BTC,9282622250.26382,2753125,0.0001,51.0,224956785.42909947,313500.0,16954037.602669094,1d
2023-02-01,23119.5,23852.4,22747.0,23730.0,571429.711,BTC,13276728610.62969,3732189,0.0001,56.0,,,,1d
2023-02-02,23730.1,24281.4,23365.0,23493.1,615740.338,BTC,14672020690.5787,4136628,0.0001,60.0,,,,1d
2023-02-03,23493.0,23719.9,23201.0,23424.7,470831.438,BTC,11047679446.9572,3231984,0.0001,60.0,260167412.7136542,315951.0,20380037.06304123,1d
2023-02-04,23424.7,23591.4,23250.0,23322.6,197118.393,BTC,4613381157.5632,1515159,0.0001,58.0,,,,1d
2023-02-05,23322.6,23436.0,22741.0,22929.2,356665.034,BTC,8235110913.12042,2413892,0.0001,58.0,,,,1d
2023-02-06,22929.3,23159.4,22600.0,22757.7,417160.143,BTC,9551236526.98696,2671329,0.0001,56.0,289509602.11744976,301977.0,21621117.121486917,1d
