Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-01-01,1196.1,1204.79,1190.8,1199.96,1381763.488,ETH,1654443731.79587,683700,0.0001,26.0,272483373.92231476,187516.0,16173353.596591791,1d
2023-01-02,1199.96,1225.0,1191.5,1213.23,2831791.319,ETH,3431524206.10823,1194079,8.780666666666666e-05,27.0,,,,1d
2023-01-03,1213.24,1219.5,1203.05,1214.23,2418195.012,ETH,2931903414.03335,1012410,3.0220000000000002e-05,26.0,,,,1d
2023-01-04,1214.22,1275.0,1212.16,1256.39,5329817.195,ETH,6655447772.02725,2182199,9.203e-05,29.0,242356482.01087618,277936.0,15514421.553151188,1d
2023-01-05,1256.39,1260.0,1242.22,1251.08,2662864.999,ETH,3329922187.67573,1160417,0.0001,29.0,,,,1d
2023-01-06,1251.08,1277.77,1233.0,1268.54,4156167.363,ETH,5216519703.013,1805807,0.0001,26.0,,,,1d
2023-01-07,1268.54,1270.66,1260.53,1263.65,1186947.058,ETH,1500580014.03508,625140,5.611e-05,25.0,260999288.3194051,246679.0,16669607.643204877,1d
2023-01-08,1263.64,1296.0,1256.3,1289.65,2415068.332,ETH,3068138464.86221,1138729,6.538e-05,25.0,,,,1d
2023-01-09,1289.64,1345.0,1284.81,1320.32,6326600.832,ETH,8343049682.27575,2548577,7.309666666666667e-05,25.0,,,,1d
2023-01-10,1320.32,1348.7,1316.74,1335.3,3653151.641,ETH,4864320674.8589,1599802,0.0001,26.0,286421296.9219445,302809.0,18671443.668399256,1d
2023-01-11,1335.29,1400.0,1319.52,1389.26,4603732.161,ETH,6190290564.99127,2010343,7.592666666666667e-05,26.0,,,,1d
2023-01-12,1389.25,1439.36,1358.0,1415.84,8272496.444,ETH,11611529579.13658,3699395,0.0001,30.0,,,,1d
2023-01-13,1415.85,1465.49,1400.7,1450.94,5096738.5,ETH,7246536108.50026,2499674,0.0001,31.0,269473291.1869182,316549.0,19299222.303412113,1d
2023-01-14,1450.95,1644.92,1448.7,1550.27,7348877.264,ETH,11302279848.04887,4120583,0.00039197999999999994,46.0,,,,1d
2023-01-15,1550.27,1570.0,1516.02,1553.47,3651240.364,ETH,5624513802.85479,2064815,0.00020572000000000003,52.0,,,,1d
2023-01-16,1553.48,1610.5,1520.0,1577.11,5395191.668,ETH,8433001908.55222,3010479,0.00011394333333333334,45.0,274688843.2470833,302804.0,19564851.90352845,1d
2023-01-17,1577.25,1609.0,1540.0,1565.84,4580613.258,ETH,7212262387.95917,2767898,0.0001,51.0,,,,1d
2023-01-18,1565.83,1614.6,1501.21,1511.66,6932415.112,ETH,10794454438.88289,4050516,0.0001,52.0,,,,1d
2023-01-19,1511.6,1565.0,1509.87,1551.11,3660939.013,ETH,5615305826.41623,2102315,0.0001,45.0,270951580.07365364,298919.0,19225531.967102878,1d
2023-01-20,1551.11,1680.0,1541.6,1659.01,5324812.863,ETH,8486281244.20332,2909709,0.0001,51.0,,,,1d
2023-01-21,1659.01,1682.44,1615.3,1627.63,4643566.522,ETH,7675267204.16943,2631057,0.0001,53.0,,,,1d
2023-01-22,1627.63,1666.0,1603.39,1628.14,3827578.409,ETH,6244645504.84663,2167269,0.0001,53.0,282163369.59394276,250760.0,21838359.94420077,1d
2023-01-23,1628.13,1650.0,1585.21,1626.9,3969684.229,ETH,6458881282.47335,2354013,0.00010118666666666667,50.0,,,,1d
2023-01-24,1626.9,1641.89,1530.0,1555.99,4505754.932,ETH,7238645481.42649,2537854,0.0001,52.0,,,,1d
2023-01-25,1556.0,1641.18,1512.3,1611.41,6003304.445,ETH,9396221038.91902,3278455,0.0001,51.0,327010527.67509925,306681.0,25676773.61340148,1d
2023-01-26,1611.44,1633.0,1575.66,1600.69,4235877.329,ETH,6803196691.7946,2450011,0.0001,54.0,,,,1d
2023-01-27,1600.69,1621.46,1551.1,1597.08,4349734.136,ETH,6892435836.78376,2546198,0.0001,55.0,,,,1d
2023-01-28,1597.08,1606.66,1555.0,1571.52,2478890.254,ETH,3918631425.95445,1619661,0.0001,52.0,313930106.5680952,268849.0,24442485.75123782,1d
2023-01-29,1571.52,1663.68,1565.98,1645.67,5099573.535,ETH,8242123689.74398,2975062,0.0001,55.0,,,,1d
2023-01-30,1645.67,1648.49,1529.04,1565.92,5031935.997,ETH,7994874441.45608,3086645,0.0001,61.0,,,,1d
2023-01-31,1565.93,1605.67,1561.04,1585.02,3444437.709,ETH,5443354538.36838,2195132,0.0001,51.0,224956785.42909947,313500.0,16954037.602669094,1d
2023-02-01,1585.02,1648.76,1554.57,1641.8,5095996.279,ETH,8138789577.81239,3162655,0.0001,56.0,,,,1d
2023-02-02,1641.81,1717.0,1625.0,1643.81,6256821.466,ETH,10469433177.5439,3654614,0.0001,60.0,,,,1d
2023-02-03,1643.82,1677.0,1622.0,1663.68,4613666.206,ETH,7613169004.81489,2904948,0.0001,60.0,260167412.7136542,315951.0,20380037.06304123,1d
2023-02-04,1663.69,1696.99,1645.0,1666.44,2708043.817,ETH,4528626441.07317,1831492,0.0001,58.0,,,,1d
2023-02-05,1666.44,1674.59,1608.0,1628.98,3600230.231,ETH,5915689068.44671,2324955,0.0001,58.0,,,,1d
2023-02-06,1628.98,1659.0,1602.0,1613.9,3905639.202,ETH,6376859033.52747,2440312,0.0001,56.0,289509602.11744976,301977.0,21621117.121486917,1d
2023-02-07,1613.89,1679.03,1612.49,1670.51,4525016.709,ETH,7450540052.39308,2731721,0.0001,54.0,,,,1d
2023-02-08,1670.5,1699.0,1631.0,1650.26,4145086.428,ETH,6891130617.52701,2543360,0.0001,58.0,,,,1d
2023-02-09,1650.26,1656.2,1522.0,1544.68,6604140.847,ETH,10570920339.39659,3626250,0.0001,55.0,316895645.5609923,369499.0,23332309.14710399,1d
2023-02-10,1544.67,1554.0,1486.28,1512.26,4905464.68,ETH,7508443152.4602,2735743,8.942666666666668e-05,48.0,,,,1d
2023-02-11,1512.25,1542.82,1502.83,1537.65,2103873.253,ETH,3199893749.52892,1406794,2.4413333333333332e-05,49.0,,,,1d
2023-02-12,1537.64,1547.7,1491.0,1514.49,2649623.411,ETH,4044008570.62891,1659390,5.5576666666666666e-05,50.0,313943411.7760057,259642.0,22415712.264169145,1d
2023-02-13,1514.48,1526.1,1460.0,1504.85,5918159.268,ETH,8822293928.12193,3211988,6.183000000000001e-05,48.0,,,,1d
2023-02-14,1504.86,1568.98,1470.0,1554.94,6535322.162,ETH,9982603577.18941,3480428,3.087333333333333e-05,50.0,,,,1d
2023-02-15,1554.94,1684.1,1541.77,1675.0,5965469.291,ETH,9558331915.34157,3215608,3.811666666666667e-05,53.0,317275458.3617154,325460.0,23873321.525806885,1d
2023-02-16,1674.99,1744.5,1634.02,1639.0,7811713.183,ETH,13211292223.81743,4397301,0.00011367,62.0,,,,1d
2023-02-17,1638.99,1722.62,1631.31,1694.12,5957429.029,ETH,9986189969.91788,3544045,0.0001,61.0,,,,1d
2023-02-18,1694.1,1715.0,1679.13,1691.66,2188299.314,ETH,3708739130.00816,1506786,0.0001,60.0,327007834.38508093,276798.0,26343409.639495973,1d
2023-02-19,1691.65,1729.58,1666.0,1680.31,3595633.465,ETH,6100181496.80222,2288950,0.0001,60.0,,,,1d
2023-02-20,1680.46,1720.39,1650.0,1703.7,4212950.942,ETH,7148997088.38648,2740431,0.0001,58.0,,,,1d
2023-02-21,1703.71,1716.99,1635.0,1659.2,4978504.599,ETH,8351819569.77419,3119701,0.0001,60.0,325061359.18040776,290457.0,26512359.26103933,1d
2023-02-22,1659.2,1667.62,1591.17,1642.01,5674489.615,ETH,9245679948.95379,3474125,0.0001,59.0,,,,1d
2023-02-23,1642.01,1678.56,1627.64,1649.69,5209103.366,ETH,8615177343.6624,3342766,7.091666666666666e-05,56.0,,,,1d
2023-02-24,1649.68,1664.44,1572.0,1607.12,5126530.811,ETH,8303467975.32484,3257215,6.199333333333335e-05,53.0,262774152.6308686,294562.0,20417436.704952147,1d
2023-02-25,1607.11,1608.34,1556.08,1593.59,2522137.13,ETH,4010474034.10132,1744332,7.686666666666666e-05,52.0,,,,1d
2023-02-26,1593.6,1652.91,1586.35,1640.49,2823827.922,ETH,4564751214.9919,1905728,2.3493333333333334e-05,51.0,,,,1d
2023-02-27,1640.51,1664.97,1606.71,1632.6,4195083.677,ETH,6870579195.6605,2647835,8.219333333333332e-05,50.0,299630548.4861114,292748.0,21360913.713135105,1d
2023-02-28,1632.61,1646.99,1595.0,1604.72,3664338.319,ETH,5961137503.73183,2409659,5.248666666666667e-05,53.0,,,,1d
2023-03-01,1604.73,1670.0,1593.03,1664.46,4455452.375,ETH,7331741626.01347,2929631,6.780666666666666e-05,50.0,,,,1d
2023-03-02,1664.47,1677.74,1617.83,1647.29,3990138.366,ETH,6548059757.19698,2583497,9.248666666666666e-05,51.0,308191421.3000004,330047.0,21657536.22815396,1d
