Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-01-01,0.3389,0.3397,0.3352,0.3385,717661010.5,XRP,242333412.22721,230028,0.0001,26.0,272483373.92231476,187516.0,16173353.596591791,1d
2023-01-02,0.3384,0.3554,0.2968,0.3479,3188137253.4,XRP,1071520780.88191,922011,-0.00018783000000000002,27.0,,,,1d
2023-01-03,0.3478,0.3518,0.34,0.3434,1676005560.8,XRP,578160897.93416,507736,-0.00013483333333333335,26.0,,,,1d
2023-01-04,0.3435,0.3527,0.341,0.347,1695312554.5,XRP,589135702.91349,508688,-4.1999999999999937e-07,29.0,242356482.01087618,277936.0,15514421.553151188,1d
2023-01-05,0.3469,0.3485,0.3321,0.3377,1325148887.2,XRP,452593508.90977,419255,-3.8589999999999995e-05,29.0,,,,1d
2023-01-06,0.3377,0.3459,0.3309,0.344,1431606821.1,XRP,482513476.34134,474831,5.867666666666667e-05,26.0,,,,1d
2023-01-07,0.344,0.3455,0.341,0.3441,627528960.0,XRP,215529032.23038,251355,7.763e-05,25.0,260999288.3194051,246679.0,16669607.643204877,1d
2023-01-08,0.3442,0.3472,0.3332,0.3451,1076024117.9,XRP,366676138.66687,368322,6.129333333333333e-05,25.0,,,,1d
2023-01-09,0.345,0.3576,0.3417,0.3486,2878732681.0,XRP,1010373283.62517,767728,4.631e-05,25.0,,,,1d
2023-01-10,0.3486,0.3539,0.343,0.3507,1345802309.5,XRP,469916551.41249,433077,0.0001,26.0,286421296.9219445,302809.0,18671443.668399256,1d
2023-01-11,0.3508,0.3788,0.3475,0.3727,4048286353.4,XRP,1483007715.09728,1196964,0.0001,26.0,,,,1d
2023-01-12,0.3727,0.3819,0.357,0.3746,2764745194.9,XRP,1028813917.13907,908833,0.0001,30.0,,,,1d
2023-01-13,0.3746,0.3867,0.3673,0.3856,2016041308.9,XRP,758873933.8694,673901,0.0001,31.0,269473291.1869182,316549.0,19299222.303412113,1d
2023-01-14,0.3856,0.4094,0.3749,0.3952,3235817749.9,XRP,1280437840.55757,1080253,0.0001,46.0,,,,1d
2023-01-15,0.3952,0.397,0.379,0.3845,1487659723.9,XRP,574754462.92013,535145,0.0001,52.0,,,,1d
2023-01-16,0.3845,0.4062,0.3752,0.3854,2409679141.9,XRP,940364863.66444,858625,0.0001,45.0,274688843.2470833,302804.0,19564851.90352845,1d
2023-01-17,0.3854,0.3987,0.378,0.3868,1670027590.4,XRP,647799307.47744,641654,0.0001,51.0,,,,1d
2023-01-18,0.3868,0.3964,0.3635,0.378,2641379218.3,XRP,1013878815.1471,997560,0.0001,52.0,,,,1d
2023-01-19,0.3779,0.3967,0.3761,0.3927,1945152851.4,XRP,753943199.20804,734976,0.0001,45.0,270951580.07365364,298919.0,19225531.967102878,1d
2023-01-20,0.3927,0.4141,0.3858,0.4125,1742171776.4,XRP,694184873.73159,660180,5.776666666666667e-05,51.0,,,,1d
2023-01-21,0.4125,0.4165,0.393,0.4032,1774616711.4,XRP,726118925.23402,740025,7.898333333333333e-05,53.0,,,,1d
2023-01-22,0.4032,0.4123,0.3955,0.4002,1278840832.0,XRP,516941268.11353,522429,0.0001,53.0,282163369.59394276,250760.0,21838359.94420077,1d
2023-01-23,0.4003,0.4332,0.3993,0.4234,3077156831.6,XRP,1297695841.26085,1177978,0.0001,50.0,,,,1d
2023-01-24,0.4233,0.4313,0.4011,0.4075,1862051480.5,XRP,781139081.04026,751616,0.0001,52.0,,,,1d
2023-01-25,0.4075,0.4244,0.3966,0.4169,1568831212.2,XRP,640637197.48152,655659,0.0001,51.0,327010527.67509925,306681.0,25676773.61340148,1d
2023-01-26,0.4169,0.4179,0.405,0.409,1264243951.1,XRP,520308105.80279,538217,0.0001,54.0,,,,1d
2023-01-27,0.409,0.4134,0.3981,0.4128,1126539717.2,XRP,458492782.99567,481629,0.0001,55.0,,,,1d
2023-01-28,0.4127,0.4169,0.4051,0.4075,851056623.9,XRP,349032369.52971,356005,0.0001,52.0,313930106.5680952,268849.0,24442485.75123782,1d
2023-01-29,0.4076,0.4174,0.4063,0.4133,929898804.3,XRP,383269324.38832,390970,0.0001,55.0,,,,1d
2023-01-30,0.4133,0.4221,0.3832,0.3932,1737882188.3,XRP,700331285.76869,727451,0.0001,61.0,,,,1d
