Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,close_norm
2023-01-01,-0.8830013578860985,-0.8911282814698446,-0.8757896035531127,-0.8851089215196356,-0.4696264957126453,XRP,242333412.22721,230028,0.146156660507699,26.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.5943449770393636,0.0158176879324235,0.0002487871625824
2023-01-02,-0.8835182268005499,-0.87544498992127,-0.9169468138602642,-0.8753976686416985,1.6054755954954278,XRP,1071520780.88191,922011,-2.452588980664235,27.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.7769571639586266,0.0273909898055665,0.0031720363229257
2023-01-03,-0.8738010912088615,-0.8790411586840003,-0.8706449522647186,-0.8800466726790089,0.3353449287811896,XRP,578160897.93416,507736,-1.974095229155607,26.0,-2.771760080593854,-2.526006884454911,-2.96674379528358,1d,-1.293475136533484,-0.0130191336945211,0.0017726085333996
2023-01-04,-0.8782461638731445,-0.8781421164933177,-0.86957314991297,-0.8763274694491606,0.3515620379790427,XRP,589135702.91349,508688,-0.7605105989387995,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.048340128130465,0.010428831483484,0.0028921507650205
2023-01-05,-0.8747314552548743,-0.8823376467165033,-0.8791121908435336,-0.8859354111262686,0.0406392342034422,XRP,452593508.90977,419255,-1.1051380565475712,29.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-2.680115273775208,-0.027166852555337,0.0
2023-01-06,-0.884241843280782,-0.8849348797118087,-0.8803983536656322,-0.8794268054740342,0.1300596776893756,XRP,482513476.34134,474831,-0.2269414612262929,26.0,-2.429611918412454,-2.4691676363993618,-2.5524210317998595,1d,1.8655611489487576,0.0184837299818762,0.0019591989053364
2023-01-07,-0.877729294958693,-0.8853344540187789,-0.86957314991297,-0.879323494273205,-0.545333844453579,XRP,215529032.23038,251355,-0.0558165180804126,25.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.0290697674418805,0.0002906554300365,0.0019902973006592
2023-01-08,-0.8775225473929124,-0.883636263214156,-0.8779332082566101,-0.878290382264914,-0.1686156943682729,XRP,366676138.66687,368322,-0.2033162272534621,25.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.2906131938390066,0.002901917300523,0.0023012812538873
2023-01-09,-0.87669555712979,-0.8732473312329346,-0.8688228882667459,-0.8746744902358947,1.3455880223759609,XRP,1010373283.62517,767728,-0.3385970256074423,25.0,-2.8056241365329084,-2.309576162028254,-2.9590933198790443,1d,1.0141987829614507,0.0100909029819627,0.0033897250901853
2023-01-10,-0.872974100945739,-0.8769433935724076,-0.8674295452094726,-0.8725049550184832,0.0579872900402488,XRP,469916551.41249,433077,0.146156660507699,26.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.6024096385542244,0.0060060240602119,0.0040427913919641
